"Annual Summaries for Precipitation (2024), Stn: US1TXTV0262"

Station:,AUSTIN 7.8 SW,State:,TX,ID:,US1TXTV0262
Latitude:,30.23106 degreeN,Longitude:,97.8476 degreeW,Elevation:,780.0 feet
Station period of record:,pcpn: 06/15/2015-03/04/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
01,M,M,M,M,M,0.04,M,M,M,M,0.03,M
02,M,M,M,0.07,0.24,M,M,M,M,M,M,M
03,1.20,0.54,M,M,M,M,M,M,M,M,0.11,M
04,M,M,M,M,0.14,M,M,M,0.45,M,M,0.17
05,0.17,M,M,M,M,0.22,M,0.77,M,M,1.83,0.09
06,M,M,M,M,0.05,M,M,M,0.04,M,M,S
07,M,M,M,0.05,M,M,0.79,M,M,M,M,M
08,0.30,M,0.22,M,M,M,M,M,M,M,M,0.59A
09,M,M,M,M,M,M,M,M,M,M,M,M
10,M,0.67,M,0.81,0.05,M,M,M,M,M,M,M
11,M,0.42,M,M,M,M,M,0.02,M,M,M,M
12,M,M,M,M,M,0.13,M,M,M,M,M,M
13,M,M,M,M,M,M,0.23,M,M,M,M,M
14,M,M,M,M,0.19,M,0.07,M,M,M,M,0.24
15,M,M,0.04,M,M,M,M,M,M,M,M,0.08
16,M,M,M,0.05,M,M,M,M,M,M,M,M
17,M,M,0.81,M,1.19,M,M,M,M,M,M,M
18,M,M,M,M,M,M,M,M,M,M,0.29,M
19,M,M,M,M,M,M,1.24,M,M,T,M,M
20,M,M,M,M,M,2.39,M,M,M,M,M,M
21,M,M,0.06,0.64,M,0.40,M,M,M,M,M,M
22,3.48,M,0.13,M,M,0.04,0.83,M,M,M,M,M
23,0.08,M,M,M,M,M,0.36,M,M,M,M,M
24,0.82,M,M,0.02,M,M,0.50,M,M,M,M,M
25,0.77,M,0.30,M,M,M,S,M,M,M,M,M
26,M,M,M,M,M,M,M,M,M,M,M,0.06
27,M,M,M,M,M,M,M,M,M,M,M,M
28,M,M,0.25,0.47,M,M,0.91A,M,M,M,M,0.20
29,M,M,M,0.27,0.89,M,M,M,M,M,M,M
30,M,M,M,M,M,M,M,M,M,M,M,M
31,M,M,M,M,1.53,M,M,M,M,M,M,M

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Max,3.48,0.67,0.81,0.81,1.53,2.39,1.24,0.77,0.45,M,1.83,0.24
DFN,M,M,M,M,M,M,M,M,M,M,M,M
Sum,6.82,1.63,1.81,2.38,4.28,3.22,4.93,0.79,0.49,M,2.26,1.43

